node,tiplabel,Group
316,Tetraselmis,Tetraselmis ssp.
317,Tetraselmis,Tetraselmis ssp.
318,Tetraselmis,Tetraselmis ssp.
319,Chlamydomonas,Chlamydomonadales
320,Chlamydomonas,Chlamydomonadales
321,Chlamydomonas,Chlamydomonadales
322,Chlamydomonas,Chlamydomonadales
323,Dunaliella,Chlamydomonadales
324,Volvox,Chlamydomonadales
325,Chlamydomonas,Chlamydomonadales
326,Polytomella,Chlamydomonadales
327,Polytomella,Chlamydomonadales
328,Dunaliella,Chlamydomonadales
329,Dunaliella,Chlamydomonadales
330,Chlamydomonas,Chlamydomonadales
331,Volvox,Chlamydomonadales
332,Chlamydomonas,Chlamydomonadales
333,Chlamydomonas,Chlamydomonadales
334,Volvox,Chlamydomonadales
335,Chlamydomonas,Chlamydomonadales
336,Volvox,Chlamydomonadales
337,Volvox,Chlamydomonadales
338,Polytomella,Chlamydomonadales
339,Polytomella,Chlamydomonadales
340,Chlamydomonas,Chlamydomonadales
341,Chlamydomonas,Chlamydomonadales
342,Chlamydomonas,Chlamydomonadales
343,Volvox,Chlamydomonadales
344,Volvox,Chlamydomonadales
345,Volvox,Chlamydomonadales
346,Chlamydomonas,Chlamydomonadales
347,Chlamydomonas,Chlamydomonadales
348,Chlamydomonas,Chlamydomonadales
349,Dunaliella,Chlamydomonadales
350,Dunaliella,Chlamydomonadales
351,Dunaliella,Chlamydomonadales
352,Chlamydomonas,Chlamydomonadales
353,Chlamydomonas,Chlamydomonadales
354,Chlorella,Trebouxiophyceae
355,Picochlorum,Trebouxiophyceae
356,Picochlorum,Trebouxiophyceae
357,Helicosporidium,Trebouxiophyceae
358,Auxenochlorella,Trebouxiophyceae
359,Auxenochlorella,Trebouxiophyceae
360,Chlorella,Trebouxiophyceae
361,Auxenochlorella,Trebouxiophyceae
362,Coccomyxa,Trebouxiophyceae
363,Asterochloris,Trebouxiophyceae
364,Asterochloris,Trebouxiophyceae
